Area,Month,age_label,index_column
Southwest,1,40-59,202
Southwest,1,60-79,78
Southwest,1,>=80,5
Southwest,2,0-19,206
Southwest,2,20-39,482
Southwest,2,40-59,221
Southwest,2,60-79,80
Southwest,2,>=80,7
Southwest,3,0-19,214
Southwest,3,20-39,573
Southwest,3,40-59,238
Southwest,3,60-79,87
Southwest,3,>=80,6
Southwest,4,0-19,238
Southwest,4,20-39,531
Southwest,4,40-59,239
Southwest,4,60-79,97
Southwest,4,>=80,12
Southwest,5,0-19,245
Southwest,5,20-39,548
Southwest,5,40-59,236
Southwest,5,60-79,81
Southwest,5,>=80,10
Southwest,6,0-19,237
Southwest,6,20-39,515
Southwest,6,40-59,253
Southwest,6,60-79,112
Southwest,6,>=80,16
Southwest,7,0-19,219
Southwest,7,20-39,506
Southwest,7,40-59,213
Southwest,7,60-79,82
Southwest,7,>=80,15
Southwest,8,0-19,247
Southwest,8,20-39,567
Southwest,8,40-59,200
Southwest,8,60-79,100
Southwest,8,>=80,8
Southwest,9,0-19,268
Southwest,9,20-39,560
Southwest,9,40-59,219
Southwest,9,60-79,109
Southwest,9,>=80,11
Southwest,10,0-19,231
Southwest,10,20-39,694
Southwest,10,40-59,306
Southwest,10,60-79,104
Southwest,10,>=80,8
Southwest,11,0-19,230
Southwest,11,20-39,532
Southwest,11,40-59,234
Southwest,11,60-79,89
Southwest,11,>=80,8
Southwest,12,0-19,214
Southwest,12,20-39,577
Southwest,12,40-59,277
Southwest,12,60-79,82
Southwest,12,>=80,10
Topanga,1,0-19,121
Topanga,1,20-39,331
Topanga,1,40-59,207
Topanga,1,60-79,88
Topanga,1,>=80,9
Topanga,2,0-19,142
Topanga,2,20-39,306
Topanga,2,40-59,208
Topanga,2,60-79,79
Topanga,2,>=80,14
Topanga,3,0-19,161
Topanga,3,20-39,334
Topanga,3,40-59,166
Topanga,3,60-79,77
Topanga,3,>=80,14
Topanga,4,0-19,158
Topanga,4,20-39,316
Topanga,4,40-59,187
Topanga,4,60-79,71
Topanga,4,>=80,9
Topanga,5,0-19,169
Topanga,5,20-39,413
Topanga,5,40-59,228
Topanga,5,60-79,69
Topanga,5,>=80,10
Topanga,6,0-19,141
Topanga,6,20-39,335
Topanga,6,40-59,248
Topanga,6,60-79,83
Topanga,6,>=80,13
Topanga,7,0-19,136
Topanga,7,20-39,343
Topanga,7,40-59,223
Topanga,7,60-79,78
Topanga,7,>=80,12
Topanga,8,0-19,126
Topanga,8,20-39,337
Topanga,8,40-59,235
Topanga,8,60-79,89
Topanga,8,>=80,8
Topanga,9,0-19,140
Topanga,9,20-39,311
Topanga,9,40-59,216
Topanga,9,60-79,77
Topanga,9,>=80,11
Topanga,10,0-19,126
Topanga,10,20-39,382
Topanga,10,40-59,159
Topanga,10,60-79,68
Topanga,10,>=80,11
Topanga,11,0-19,139
Topanga,11,20-39,338
Topanga,11,40-59,176
Topanga,11,60-79,85
Topanga,11,>=80,9
Topanga,12,0-19,142
Topanga,12,20-39,334
Topanga,12,40-59,211
Topanga,12,60-79,80
Topanga,12,>=80,12
Van Nuys,1,0-19,192
Van Nuys,1,20-39,283
Van Nuys,1,40-59,228
Van Nuys,1,60-79,74
Van Nuys,1,>=80,1
Van Nuys,2,0-19,177
Van Nuys,2,20-39,251
Van Nuys,2,40-59,199
Van Nuys,2,60-79,74
Van Nuys,2,>=80,2
Van Nuys,3,0-19,189
Van Nuys,3,20-39,288
Van Nuys,3,40-59,205
Van Nuys,3,60-79,64
Van Nuys,3,>=80,5
Van Nuys,4,0-19,201
Van Nuys,4,20-39,299
Van Nuys,4,40-59,259
Van Nuys,4,60-79,73
Van Nuys,4,>=80,9
Van Nuys,5,0-19,174
Van Nuys,5,20-39,301
Van Nuys,5,40-59,236
Van Nuys,5,60-79,100
Van Nuys,5,>=80,10
Van Nuys,6,0-19,171
Van Nuys,6,20-39,319
Van Nuys,6,40-59,218
Van Nuys,6,60-79,77
Van Nuys,6,>=80,9
Van Nuys,7,0-19,149
Van Nuys,7,20-39,301
Van Nuys,7,40-59,229
